code,name,full_name
140215,云州区,山西省大同市云州区
140221,阳高县,山西省大同市阳高县
140222,天镇县,山西省大同市天镇县
140223,广灵县,山西省大同市广灵县
140224,灵丘县,山西省大同市灵丘县
140225,浑源县,山西省大同市浑源县
140226,左云县,山西省大同市左云县
140300,阳泉市,山西省阳泉市
140302,城区,山西省阳泉市城区
140303,矿区,山西省阳泉市矿区
140311,郊区,山西省阳泉市郊区
140321,平定县,山西省阳泉市平定县
140322,盂县,山西省阳泉市盂县
140400,长治市,山西省长治市
140403,潞州区,山西省长治市潞州区
140404,上党区,山西省长治市上党区
140405,屯留区,山西省长治市屯留区
140406,潞城区,山西省长治市潞城区
140423,襄垣县,山西省长治市襄垣县
140425,平顺县,山西省长治市平顺县
140426,黎城县,山西省长治市黎城县
140427,壶关县,山西省长治市壶关县
140428,长子县,山西省长治市长子县
140429,武乡县,山西省长治市武乡县
140430,沁县,山西省长治市沁县
140431,沁源县,山西省长治市沁源县
140500,晋城市,山西省晋城市
140502,城区,山西省晋城市城区
140521,沁水县,山西省晋城市沁水县
140522,阳城县,山西省晋城市阳城县
140524,陵川县,山西省晋城市陵川县
140525,泽州县,山西省晋城市泽州县
140581,高平市,山西省晋城市高平市
140600,朔州市,山西省朔州市
140602,朔城区,山西省朔州市朔城区
140603,平鲁区,山西省朔州市平鲁区
140621,山阴县,山西省朔州市山阴县
140622,应县,山西省朔州市应县
140623,右玉县,山西省朔州市右玉县
140681,怀仁市,山西省朔州市怀仁市
140700,晋中市,山西省晋中市
140702,榆次区,山西省晋中市榆次区
140703,太谷区,山西省晋中市太谷区
140721,榆社县,山西省晋中市榆社县
140722,左权县,山西省晋中市左权县
140723,和顺县,山西省晋中市和顺县
140724,昔阳县,山西省晋中市昔阳县
140725,寿阳县,山西省晋中市寿阳县
140727,祁县,山西省晋中市祁县
140728,平遥县,山西省晋中市平遥县
140729,灵石县,山西省晋中市灵石县
140781,介休市,山西省晋中市介休市
140800,运城市,山西省运城市
140802,盐湖区,山西省运城市盐湖区
140821,临猗县,山西省运城市临猗县
140822,万荣县,山西省运城市万荣县
140823,闻喜县,山西省运城市闻喜县
140824,稷山县,山西省运城市稷山县
140825,新绛县,山西省运城市新绛县
140826,绛县,山西省运城市绛县
140827,垣曲县,山西省运城市垣曲县
140828,夏县,山西省运城市夏县
140829,平陆县,山西省运城市平陆县
140830,芮城县,山西省运城市芮城县
140881,永济市,山西省运城市永济市
140882,河津市,山西省运城市河津市
140900,忻州市,山西省忻州市
140902,忻府区,山西省忻州市忻府区
140921,定襄县,山西省忻州市定襄县
140922,五台县,山西省忻州市五台县
140923,代县,山西省忻州市代县
140924,繁峙县,山西省忻州市繁峙县
140925,宁武县,山西省忻州市宁武县
140926,静乐县,山西省忻州市静乐县
140927,神池县,山西省忻州市神池县
140928,五寨县,山西省忻州市五寨县
140929,岢岚县,山西省忻州市岢岚县
140930,河曲县,山西省忻州市河曲县
140931,保德县,山西省忻州市保德县
140932,偏关县,山西省忻州市偏关县
140981,原平市,山西省忻州市原平市
141000,临汾市,山西省临汾市
141002,尧都区,山西省临汾市尧都区
141021,曲沃县,山西省临汾市曲沃县
141022,翼城县,山西省临汾市翼城县
141023,襄汾县,山西省临汾市襄汾县
141024,洪洞县,山西省临汾市洪洞县
141025,古县,山西省临汾市古县
141026,安泽县,山西省临汾市安泽县
141027,浮山县,山西省临汾市浮山县
141028,吉县,山西省临汾市吉县
141029,乡宁县,山西省临汾市乡宁县
141030,大宁县,山西省临汾市大宁县
141031,隰县,山西省临汾市隰县
141032,永和县,山西省临汾市永和县
141033,蒲县,山西省临汾市蒲县
141034,汾西县,山西省临汾市汾西县
141081,侯马市,山西省临汾市侯马市
141082,霍州市,山西省临汾市霍州市
141100,吕梁市,山西省吕梁市
141102,离石区,山西省吕梁市离石区
141121,文水县,山西省吕梁市文水县
141122,交城县,山西省吕梁市交城县
141123,兴县,山西省吕梁市兴县
141124,临县,山西省吕梁市临县
141125,柳林县,山西省吕梁市柳林县
141126,石楼县,山西省吕梁市石楼县
141127,岚县,山西省吕梁市岚县
141128,方山县,山西省吕梁市方山县
141129,中阳县,山西省吕梁市中阳县
141130,交口县,山西省吕梁市交口县
141181,孝义市,山西省吕梁市孝义市
141182,汾阳市,山西省吕梁市汾阳市
150000,内蒙古自治区,内蒙古自治区
150100,呼和浩特市,内蒙古自治区呼和浩特市
150102,新城区,内蒙古自治区呼和浩特市新城区
150103,回民区,内蒙古自治区呼和浩特市回民区
150104,玉泉区,内蒙古自治区呼和浩特市玉泉区
150105,赛罕区,内蒙古自治区呼和浩特市赛罕区
150121,土默特左旗,内蒙古自治区呼和浩特市土默特左旗
150122,托克托县,内蒙古自治区呼和浩特市托克托县
150123,和林格尔县,内蒙古自治区呼和浩特市和林格尔县
150124,清水河县,内蒙古自治区呼和浩特市清水河县
150125,武川县,内蒙古自治区呼和浩特市武川县
150200,包头市,内蒙古自治区包头市
150202,东河区,内蒙古自治区包头市东河区
150203,昆都仑区,内蒙古自治区包头市昆都仑区
150204,青山区,内蒙古自治区包头市青山区
150205,石拐区,内蒙古自治区包头市石拐区
